	Data.source	Date.of.update	Alternative.name	Product.type	Antibacterial.class	Indications	Route.of.administration	R.D.phase	Clinical.trials	Developer	Pathogen.category	Pathogen.name	Pathogen.activity	Active.against.priority.pathogens.	Innovative.	NCE.	Mycobacterium.tuberculosis	Clostridioides.difficile	Combined.Categories
162	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Broad spectrum anti-toxin liposomal agent and nanoparticle	S. pneumonia severe pneumonia	IV	Phase I	NCT02583373	"Eagle Pharmaceuticals
(Combioxin SA)"	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
163	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Broad spectrum anti-toxin liposomal agent and nanoparticle	S. pneumonia severe pneumonia	IV	Phase I	NCT02583373	"Eagle Pharmaceuticals
(Combioxin SA)"	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
164	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Broad spectrum anti-toxin liposomal agent and nanoparticle	S. pneumonia severe pneumonia	IV	Phase I	NCT02583373	"Eagle Pharmaceuticals
(Combioxin SA)"	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
165	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Broad spectrum anti-toxin liposomal agent and nanoparticle	S. pneumonia severe pneumonia	IV	Phase I	NCT02583373	"Eagle Pharmaceuticals
(Combioxin SA)"	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
166	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Broad spectrum anti-toxin liposomal agent and nanoparticle	S. pneumonia severe pneumonia	IV	Phase I	NCT02583373	"Eagle Pharmaceuticals
(Combioxin SA)"	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
167	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Broad spectrum anti-toxin liposomal agent and nanoparticle	S. pneumonia severe pneumonia	IV	Phase I	NCT02583373	"Eagle Pharmaceuticals
(Combioxin SA)"	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
168	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Broad spectrum anti-toxin liposomal agent and nanoparticle	S. pneumonia severe pneumonia	IV	Phase I	NCT02583373	"Eagle Pharmaceuticals
(Combioxin SA)"	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
169	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
170	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
171	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
172	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
173	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
174	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
175	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
176	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
177	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
178	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
179	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
180	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
181	WHO AMR pipeline analysis	2021-11-01	Exebacase	Non-traditional	Phage endolysin	S. aureus bacteremia	IV	Phase III	NCT04160468	Contrafect	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
182	WHO AMR pipeline analysis	2021-11-01	LCB01-0371	Antibiotics	Oxazolidinone	Pulmonary tuberculosis, Gram-positive bacterial infections	Oral	Phase II	NCT02836483, NCT04550832	LegoChem Biosciences Inc., HaiHe Biopharma	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	Yes	Unknown	Delpazolid
183	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
184	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Staphylococcus aureus	Other priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
185	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Possibly	No	Yes	No	Unknown	Durlobactam + sulbactam
186	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
187	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
188	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
189	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
190	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
191	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Enterobacterales	Critical priority pathogens	Possibly	No	Yes	No	Unknown	Durlobactam + sulbactam
192	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	Durlobactam + sulbactam
193	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
194	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Durlobactam + sulbactam
195	WHO AMR pipeline analysis	2021-11-01	ETX2514	Antibiotics	DBO-BLI /PBP2 binder + β-lactam-BLI/PBP1,3 binder	A. baumannii HAP, VAP	IV	Phase III	NCT03445195, NCT03894046	Entasis Therapeutics Inc.	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	Yes	No	Yes	No	Unknown	Durlobactam + sulbactam
196	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	EBL-1003
197	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Staphylococcus aureus	Other priority pathogens	No	No	Yes	No	Unknown	EBL-1003
198	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Possibly	No	Yes	No	Unknown	EBL-1003
199	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	EBL-1003
200	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	EBL-1003
201	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	EBL-1003
202	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	EBL-1003
203	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	EBL-1003
204	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Enterobacterales	Critical priority pathogens	Yes	No	Yes	No	Unknown	EBL-1003
205	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	EBL-1003
206	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	EBL-1003
207	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	EBL-1003
208	WHO AMR pipeline analysis	2021-11-01	Apramycin	Antibiotics	Aminoglycoside	Bacterial infections	IV	Phase I	NCT04105205	Juvabis	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	Yes	No	Yes	No	Unknown	EBL-1003
209	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	Possibly	No	Yes	No	Unknown	Enmetazobactam + cefepime
210	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Enterobacterales	Critical priority pathogens	Possibly	No	Yes	No	Unknown	Enmetazobactam + cefepime
211	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Possibly	No	Yes	No	Unknown	Enmetazobactam + cefepime
212	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
213	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
214	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
215	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
216	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
217	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
218	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Staphylococcus aureus	Other priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
219	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
220	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Enmetazobactam + cefepime
221	WHO AMR pipeline analysis	2021-11-01	AAl101 + cefepime	Antibiotics	β-lactam BLI + cephalosporin	cUTI, AP	IV	Phase III	EudraCT 2017-004868-35, NCT03687255	Allecra therapeutics	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	Enmetazobactam + cefepime
222	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
223	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Staphylococcus aureus	Other priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
224	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Possibly	No	Yes	No	Unknown	ETX0282 + cefpodoxime
225	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
226	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
227	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
228	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
229	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
230	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Enterobacterales	Critical priority pathogens	Yes	No	Yes	No	Unknown	ETX0282 + cefpodoxime
231	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	ETX0282 + cefpodoxime
232	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
233	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	ETX0282 + cefpodoxime
234	WHO AMR pipeline analysis	2021-11-01	–	Antibiotics	DBO-BLI/PBP2 binder + cephalosporin	Active against ESBL, OXA-48 and KPC, but not MBL-producing Enterobacterales	Oral	Phase I	NCT03491748	Entasis Therapeutics Inc.	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	Possibly	No	Yes	No	Unknown	ETX0282 + cefpodoxime
235	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
236	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Staphylococcus aureus	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
237	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
238	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
239	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
240	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
241	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
242	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
243	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
244	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
245	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
246	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
247	WHO AMR pipeline analysis	2021-11-01	Fluorothyazinone	Non-traditional	Type III secretion system inhibition + cefepime	P. aeruginosa cUTI	Oral	Phase II	NCT03638830	Gamaleya Research Institute of Epidemiology and Microbiology	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
248	WHO AMR pipeline analysis	2021-11-01	GSK2140944	Antibiotics	Topoisomerase Inhibitors (Triazaacenaphthylene)	Uncomplicated urogenital gonorrhea and uUTI	IV, Oral	Phase III	 NCT04010539, NCT04020341	GSK	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	Yes	Yes	No	Unknown	Gepotidacin
